"measurement_id","location_id","pm25","recorded_at","AQI"
"322","589967","9","2024-10-26 17:07:06","50"
"323","2162178","29.69","2024-10-26 17:08:07","89"
"324","1590755","3.27","2024-10-26 17:09:07","18"
"325","8118","130","2024-10-26 17:10:08","205"
"326","225617","25.8","2024-10-26 17:11:09","82"
"327","1214722","10","2024-10-26 17:12:10","53"
"328","9466","4.56","2024-10-26 17:13:11","25"
"329","1324","12.1","2024-10-26 18:06:05","57"
"330","589967","9","2024-10-26 18:07:06","50"
"331","2162178","30.86","2024-10-26 18:08:07","92"
"332","1590755","2.07","2024-10-26 18:09:08","11"
"333","8118","155","2024-10-26 18:10:08","230"
"334","225617","26.4","2024-10-26 18:11:09","83"
"335","1214722","10","2024-10-26 18:12:10","53"
"336","9466","4.5","2024-10-26 18:13:11","25"
"337","1324","13.6","2024-10-26 19:06:05","59"
"338","589967","9","2024-10-26 19:07:06","50"
"339","2162178","30.97","2024-10-26 19:08:07","92"
"340","1590755","1.72","2024-10-26 19:09:08","10"
"341","8118","155","2024-10-26 19:10:08","230"
"342","225617","26.9","2024-10-26 19:11:09","84"
"343","1214722","12","2024-10-26 19:12:17","56"
"344","9466","4.6","2024-10-26 19:13:18","26"
"345","1324","13.6","2024-10-26 19:20:19","59"
"346","589967","9","2024-10-26 19:21:19","50"
"347","2162178","30.97","2024-10-26 19:22:19","92"
"348","1590755","1.72","2024-10-26 19:23:19","10"
"349","8118","155","2024-10-26 19:24:19","230"
"350","225617","26.9","2024-10-26 19:25:19","84"
"351","1214722","12","2024-10-26 19:26:19","56"
"352","9466","4.6","2024-10-26 19:27:20","26"
"353","1324","18.8","2024-10-26 20:06:07","69"
"354","589967","9","2024-10-26 20:07:08","50"
"355","2162178","30.44","2024-10-26 20:08:09","91"
"356","1590755","1.64","2024-10-26 20:09:09","9"
"357","8118","144","2024-10-26 20:10:10","219"
"358","225617","26.9","2024-10-26 20:11:11","84"
"359","1214722","14","2024-10-26 20:12:12","60"
"360","9466","4.58","2024-10-26 20:13:13","25"
"361","1324","14.7","2024-10-26 21:06:06","61"
"362","589967","9","2024-10-26 21:07:07","50"
"363","2162178","29.65","2024-10-26 21:08:07","89"
"364","1590755","2.22","2024-10-26 21:09:08","12"
"365","8118","133","2024-10-26 21:10:09","208"
"366","225617","26.9","2024-10-26 21:11:10","84"
"367","1214722","13","2024-10-26 21:12:11","58"
"368","9466","4.59","2024-10-26 21:13:11","26"
"369","1324","15.9","2024-10-26 22:06:05","64"
"370","589967","9","2024-10-26 22:07:06","50"
"371","2162178","28.96","2024-10-26 22:08:07","88"
"372","1590755","2.33","2024-10-26 22:09:08","13"
"373","8118","156","2024-10-26 22:10:09","231"
"374","225617","23.1","2024-10-26 22:11:09","77"
"375","1214722","14","2024-10-26 22:12:10","60"
"376","9466","4.61","2024-10-26 22:13:11","26"
"377","1324","15.9","2024-10-26 22:20:12","64"
"378","589967","9","2024-10-26 22:21:12","50"
"379","2162178","28.96","2024-10-26 22:22:12","88"
"380","1590755","2.33","2024-10-26 22:23:12","13"
"381","8118","156","2024-10-26 22:24:12","231"
"382","225617","23.1","2024-10-26 22:25:12","77"
"383","1214722","14","2024-10-26 22:26:12","60"
"384","9466","4.61","2024-10-26 22:27:12","26"
"385","1324","15.1","2024-10-26 23:06:06","62"
"386","589967","9","2024-10-26 23:07:06","50"
"387","2162178","27.36","2024-10-26 23:08:07","85"
"388","1590755","3.94","2024-10-26 23:09:08","22"
"389","8118","156","2024-10-26 23:10:09","231"
"390","225617","22.7","2024-10-26 23:11:10","76"
"391","1214722","14","2024-10-26 23:12:11","60"
"392","9466","4.64","2024-10-26 23:13:11","26"
"393","1324","12.6","2024-10-27 00:06:06","58"
"394","589967","9","2024-10-27 00:07:07","50"
"395","2162178","23.11","2024-10-27 00:08:07","77"
"396","1590755","6.45","2024-10-27 00:09:08","36"
"397","8118","174","2024-10-27 00:10:09","249"
"398","225617","22.7","2024-10-27 00:11:10","76"
"399","1214722","14","2024-10-27 00:12:11","60"
"400","9466","4.69","2024-10-27 00:13:11","26"
"401","1324","12.6","2024-10-27 01:06:05","58"
"402","589967","9","2024-10-27 01:07:06","50"
"403","2162178","23.05","2024-10-27 01:08:07","77"
"404","1590755","10.68","2024-10-27 01:09:08","54"
"405","8118","174","2024-10-27 01:10:09","249"
"406","225617","22.1","2024-10-27 01:11:09","75"
"407","1214722","13","2024-10-27 01:12:10","58"
"408","9466","4.9","2024-10-27 01:13:11","27"
"409","1324","13.9","2024-10-27 02:06:06","60"
"410","589967","9","2024-10-27 02:07:07","50"
"411","2162178","25.03","2024-10-27 02:08:07","81"
"412","1590755","7.51","2024-10-27 02:09:08","42"
"413","8118","188","2024-10-27 02:10:09","263"
"414","225617","21.9","2024-10-27 02:11:10","75"
"415","1214722","14","2024-10-27 02:12:11","60"
"416","9466","4.69","2024-10-27 02:13:11","26"
"417","1324","14.6","2024-10-27 03:06:16","61"
"418","589967","9","2024-10-27 03:07:17","50"
"419","2162178","30.98","2024-10-27 03:08:18","92"
"420","1590755","5.69","2024-10-27 03:09:19","32"
"421","8118","198","2024-10-27 03:10:19","273"
"422","225617","21.4","2024-10-27 03:11:21","74"
"423","1214722","16","2024-10-27 03:12:21","64"
"424","9466","4.41","2024-10-27 03:13:22","24"
"425","1324","14","2024-10-27 04:06:06","60"
"426","589967","9","2024-10-27 04:07:07","50"
